rank,name,file_path,function_name,description,cli_accessible,api_accessible,business_value,usage_frequency,complexity_score,priority_score,recommended_interface,command_suggestion,endpoint_suggestion,test_template
105,get,ai/monitor/firestore_tracker.py,get,Execute query with tracking.,,False,9,8,4,78,both,get,POST /api/v1/get,
106,stream,ai/monitor/firestore_tracker.py,stream,Stream query results with tracking.,,False,9,8,4,78,both,stream,POST /api/v1/stream,
107,where,ai/monitor/firestore_tracker.py,where,Chain where clause.,,False,9,8,4,78,both,where,POST /api/v1/where,
108,order_by,ai/monitor/firestore_tracker.py,order_by,Chain order by clause.,,False,9,8,4,78,both,order by,POST /api/v1/order-by,
109,limit,ai/monitor/firestore_tracker.py,limit,Chain limit clause.,,False,9,8,4,78,both,limit,POST /api/v1/limit,
110,set,ai/monitor/firestore_tracker.py,set,Set document in batch.,,False,9,8,4,78,both,set,POST /api/v1/set,
111,update,ai/monitor/firestore_tracker.py,update,Update document in batch.,,False,9,8,4,78,both,update,POST /api/v1/update,
112,delete,ai/monitor/firestore_tracker.py,delete,Delete document in batch.,,False,9,8,4,78,both,delete,POST /api/v1/delete,
113,commit,ai/monitor/firestore_tracker.py,commit,Commit batch and track usage.,,False,9,8,4,78,both,commit,POST /api/v1/commit,
114,CostOptimizer,ai/monitor/cost_optimizer.py,,Advanced cost optimization analyzer.,False,False,9,8,4,78,both,CostOptimizer,POST /api/v1/CostOptimizer,
115,quick_optimization_report,ai/monitor/cost_optimizer.py,quick_optimization_report,Generate a quick optimization report.,,False,9,8,4,78,both,quick optimization report,POST /api/v1/quick-optimization-report,
116,analyze_usage_patterns,ai/monitor/cost_optimizer.py,analyze_usage_patterns,Analyze usage patterns to identify optimization opportunities.,,False,9,8,4,78,both,analyze usage patterns,POST /api/v1/analyze-usage-patterns,
117,generate_recommendations,ai/monitor/cost_optimizer.py,generate_recommendations,Generate comprehensive optimization recommendations.,,False,9,8,4,78,both,generate recommendations,POST /api/v1/generate-recommendations,
118,forecast_monthly_cost,ai/monitor/cost_optimizer.py,forecast_monthly_cost,Forecast monthly costs based on recent usage trends.,,False,9,8,4,78,both,forecast monthly cost,POST /api/v1/forecast-monthly-cost,
119,MonitorStatus,ai/monitor/status.py,,Class MonitorStatus,False,False,9,8,4,78,both,MonitorStatus,POST /api/v1/MonitorStatus,
120,get_status,ai/monitor/status.py,get_status,Function get_status,,False,9,8,4,78,both,status,GET /api/v1/status,
121,EnhancedFirestoreMemoryStore,ai/memory/enhanced_firestore.py,,Enhanced Firestore memory store with intelligent features and production capabilities.,False,False,9,8,4,78,both,EnhancedFirestoreMemoryStore,POST /api/v1/EnhancedFirestoreMemoryStore,
122,write,ai/memory/enhanced_firestore.py,write,Write enhanced memory item with Firestore persistence.,,False,9,8,4,78,both,write,POST /api/v1/write,
123,restore_memories,ai/memory/enhanced_firestore.py,restore_memories,Restore memories from a backup file.,,False,9,8,4,78,both,restore memories,POST /api/v1/restore-memories,
124,get_production_analytics,ai/memory/enhanced_firestore.py,get_production_analytics,Get enhanced analytics including Firestore metrics.,,False,9,8,4,78,both,production analytics,GET /api/v1/production-analytics,
125,sync_with_firestore,ai/memory/enhanced_firestore.py,sync_with_firestore,Synchronize local memory with Firestore.,,False,9,8,4,78,both,sync with firestore,POST /api/v1/sync-with-firestore,
126,optimize_firestore_memory,ai/memory/enhanced_firestore.py,optimize_firestore_memory,Optimize memory by removing low-importance items from both local and Firestore.,,False,9,8,4,78,both,memory optimize firestore,POST /api/v1/optimize-firestore-memory,
127,write_operation,ai/memory/enhanced_firestore.py,write_operation,Function write_operation,,False,9,8,4,78,both,write operation,POST /api/v1/write-operation,
128,delete_operation,ai/memory/enhanced_firestore.py,delete_operation,Function delete_operation,,False,9,8,4,78,both,delete operation,DELETE /api/v1/operation,
129,get_firestore_stats,ai/memory/enhanced_firestore.py,get_firestore_stats,Function get_firestore_stats,,False,9,8,4,78,both,firestore stats,GET /api/v1/firestore-stats,
130,get_firestore_memories,ai/memory/enhanced_firestore.py,get_firestore_memories,Function get_firestore_memories,,False,9,8,4,78,both,firestore memories,GET /api/v1/firestore-memories,
131,restore_operation,ai/memory/enhanced_firestore.py,restore_operation,Function restore_operation,,False,9,8,4,78,both,restore operation,POST /api/v1/restore-operation,
132,sync_to_firestore,ai/memory/enhanced_firestore.py,sync_to_firestore,Function sync_to_firestore,,False,9,8,4,78,both,sync to firestore,POST /api/v1/sync-to-firestore,
133,set_memory_store,ai/memory/store.py,set_memory_store,Function set_memory_store,,False,9,8,4,78,both,memory store,POST /api/v1/set-memory-store,
134,get_store,ai/memory/store.py,get_store,Function get_store,,False,9,8,4,78,both,store,GET /api/v1/store,
135,render_context,ai/memory/store.py,render_context,Function render_context,,False,9,8,4,78,both,render context,POST /api/v1/render-context,
136,MemoryItem,ai/memory/store.py,,Class MemoryItem,False,False,9,8,4,78,both,MemoryItem,POST /api/v1/MemoryItem,
137,MemoryStore,ai/memory/store.py,,Class MemoryStore,False,False,9,8,4,78,both,MemoryStore,POST /api/v1/MemoryStore,
138,InMemoryMemoryStore,ai/memory/store.py,,Class InMemoryMemoryStore,False,False,9,8,4,78,both,InMemoryMemoryStore,POST /api/v1/InMemoryMemoryStore,
139,write,ai/memory/store.py,write,Function write,,False,9,8,4,78,both,write,POST /api/v1/write,
140,query,ai/memory/store.py,query,Function query,,False,9,8,4,78,both,query,POST /api/v1/query,
141,MemoryType,ai/memory/intelligent_store.py,,Classification of memory content types.,False,False,9,8,4,78,both,MemoryType,POST /api/v1/MemoryType,
142,EnhancedMemoryItem,ai/memory/intelligent_store.py,,Enhanced memory item with intelligent metadata.,False,False,9,8,4,78,both,EnhancedMemoryItem,POST /api/v1/EnhancedMemoryItem,
143,write,ai/memory/intelligent_store.py,write,Write enhanced memory item with automatic intelligence.,,False,9,8,4,78,both,write,POST /api/v1/write,
144,query,ai/memory/intelligent_store.py,query,Enhanced query with intelligent filtering.,,False,9,8,4,78,both,query,POST /api/v1/query,
145,search_by_keywords,ai/memory/intelligent_store.py,search_by_keywords,Search memories by keywords.,,False,9,8,4,78,both,search by keywords,POST /api/v1/search-by-keywords,
146,search_by_type,ai/memory/intelligent_store.py,search_by_type,Search memories by type.,,False,9,8,4,78,both,search by type,POST /api/v1/search-by-type,
147,get_related_memories,ai/memory/intelligent_store.py,get_related_memories,Get memories related to a specific memory.,,False,9,8,4,78,both,related memories,GET /api/v1/related-memories,
148,get_by_id,ai/memory/intelligent_store.py,get_by_id,Get memory by ID.,,False,9,8,4,78,both,by id,GET /api/v1/by-id,
149,get_memory_analytics,ai/memory/intelligent_store.py,get_memory_analytics,Get analytics about memory usage.,,False,9,8,4,78,both,memory analytics,GET /api/v1/memory-analytics,
150,optimize_memory,ai/memory/intelligent_store.py,optimize_memory,Optimize memory by removing low-importance old items.,,False,9,8,4,78,both,memory optimize,POST /api/v1/optimize-memory,
151,FirestoreMemoryStore,ai/memory/firestore_store.py,,Firestore-backed intelligent memory store for persistent agent memory.,False,False,9,8,4,78,both,FirestoreMemoryStore,POST /api/v1/FirestoreMemoryStore,
152,write,ai/memory/firestore_store.py,write,Write enhanced memory item with Firestore persistence.,,False,9,8,4,78,both,write,POST /api/v1/write,
153,consolidate_memories,ai/memory/firestore_store.py,consolidate_memories,Consolidate and clean up old memories in Firestore.,,False,9,8,4,78,both,consolidate memories,POST /api/v1/consolidate-memories,
154,search_firestore,ai/memory/firestore_store.py,search_firestore,Search Firestore directly for memories (beyond local cache).,,False,9,8,4,78,both,search firestore,POST /api/v1/search-firestore,
155,get_memory_stats,ai/memory/firestore_store.py,get_memory_stats,Get comprehensive memory statistics including Firestore metrics.,,False,9,8,4,78,both,memory stats,GET /api/v1/memory-stats,
156,force_sync,ai/memory/firestore_store.py,force_sync,Force sync all local memories to Firestore.,,False,9,8,4,78,both,force sync,POST /api/v1/force-sync,
157,FirestoreMemoryStore,ai/memory/firestore.py,,Firestore-backed memory store (staging-only as per ADR-002/003).,False,False,9,8,4,78,both,FirestoreMemoryStore,POST /api/v1/FirestoreMemoryStore,
158,write,ai/memory/firestore.py,write,Function write,,False,9,8,4,78,both,write,POST /api/v1/write,
159,query,ai/memory/firestore.py,query,Function query,,False,9,8,4,78,both,query,POST /api/v1/query,
160,get_orchestration_statistics,ai/agents/enhanced_mother.py,get_orchestration_statistics,Get statistics about orchestration performance.,,False,9,8,4,78,both,orchestration statistics,GET /api/v1/orchestration-statistics,
161,run_sync_agent,ai/agents/enhanced_mother.py,run_sync_agent,Function run_sync_agent,,False,9,8,4,78,both,agent run sync,POST /api/v1/run-sync-agent,
162,create_enhanced_agents,ai/agents/enhanced_agents.py,create_enhanced_agents,Create all enhanced agents with intelligent memory capabilities.,,False,9,8,4,78,both,agent create enhanced s,POST /api/v1/enhanced-agents,
163,get_agent,ai/agents/enhanced_agents.py,get_agent,"Get an agent instance, optionally using enhanced memory capabilities.",,False,9,8,4,78,both,agent ,GET /api/v1/agent,
164,Agent,ai/agents/enhanced_agents.py,,Class Agent,False,False,9,8,4,78,both,Agent,POST /api/v1/Agent,
165,DummyTool,ai/agents/enhanced_agents.py,,Class DummyTool,False,False,9,8,4,78,both,DummyTool,POST /api/v1/DummyTool,
166,Agent,ai/agents/DocumentationAgent.py,,Class Agent,False,False,9,8,4,78,both,Agent,POST /api/v1/Agent,
167,ChildAgent,ai/agents/mother.py,,Child agent spawned by Mother Agent.,False,False,9,8,4,78,both,ChildAgent,POST /api/v1/ChildAgent,
168,AgentResult,ai/agents/mother.py,,Result from an agent execution.,False,False,9,8,4,78,both,AgentResult,POST /api/v1/AgentResult,
169,execute,ai/agents/mother.py,execute,Execute the agent task.,,False,9,8,4,78,both,execute,POST /api/v1/execute,
170,get_active_agents,ai/agents/mother.py,get_active_agents,Get list of currently active agents.,,False,9,8,4,78,both,agent active s,GET /api/v1/active-agents,
171,cleanup_completed_agents,ai/agents/mother.py,cleanup_completed_agents,Remove completed agents from active registry.,,False,9,8,4,78,both,agent cleanup completed s,POST /api/v1/cleanup-completed-agents,
172,scan_for_issues,ai/agents/mother.py,scan_for_issues,Scan directory for issues that agents can fix.,,False,9,8,4,78,both,scan for issues,POST /api/v1/scan-for-issues,
173,MarketResearchAgent,ai/agents/research_agents.py,,Agent specialized in market research using EXA web search.,False,False,9,8,4,78,api,MarketResearchAgent,POST /api/v1/MarketResearchAgent,
174,TechnicalAssessmentAgent,ai/agents/research_agents.py,,Agent specialized in technical feasibility assessment.,False,False,9,8,4,78,both,TechnicalAssessmentAgent,POST /api/v1/TechnicalAssessmentAgent,
175,OpportunityScoringAgent,ai/agents/research_agents.py,,Agent specialized in scoring and ranking business opportunities.,False,False,9,8,4,78,both,OpportunityScoringAgent,POST /api/v1/OpportunityScoringAgent,
176,Agent,ai/agents/research_agents.py,,Class Agent,False,False,9,8,4,78,both,Agent,POST /api/v1/Agent,
177,MemoryType,ai/agents/research_agents.py,,Class MemoryType,False,False,9,8,4,78,both,MemoryType,POST /api/v1/MemoryType,
178,AppGenesisAgent,ai/agents/app_genesis.py,,Agent that creates and develops entire applications autonomously.,False,False,9,8,4,78,both,AppGenesisAgent,POST /api/v1/AppGenesisAgent,
